14.86164046314333,1122.736331627249,42033.8978778182,1574049.984493167,58944206.62031078,2207310993.844627,82658193308.57047,3095339503441.091,115912606571138.94,4340632860242296,162545681481661700,6086923132877875000,227939819057843960000,8535767575490599000000,319642826795029100000000,11969812417911880000000000,
0,48.050420664226905,20728.990531437208,776266.1903738565,29069125.219887093,1088564794.9723685,40763988092.59696,1526507870187.9307,57163844547091.61,2140640862103729.3,80161566053017140,3001847150463240000,112411555293025080000,4209527377650399000000,157636113983094620000000,5903072293488934000000000,
0,0,121.44784086962217,67098.79879111837,2512756.4706534245,94096059.51194184,3523658163.853936,131952051996.87747,4941269372289.489,185037994097259,6929203141332513,259481067161729800,9716907246340856000,363873509026161000000,13626139183418860000000,510264321090090000000000,
0,0,0,283.84796000669303,166597.90832912512,6238940.069082406,233632114.311877,8748929093.958965,327625186231.4425,12268731508747.08,459432849638212.75,17204593902301712,644268366043946000,24126214768104514000,903465496235433300000,33832489295710658000000,
0,0,0,0,664.4333413828098,392960.0378192682,14715711.6105721,551064904.0074577,20635981208.28766,772765118291.6602,28938091905901,1083658079734488,40580244110625280,1519627124899565600,56906178100700120000,2130991907798633200000,
0,0,0,0,0,1432.5584618733294,927405.6034858227,34729310.04682922,1300518932.4641113,48701130647.296875,1823733718049.5,68294198006320,2557444343948800,95769798351159300,3586335826934497300,134299172443739130000,
0,0,0,0,0,0,3485.7445438753075,1980287.0668869019,74155813.7915039,2776937608.9921875,103989262375.5,3894133874736,145825427990016,5460792086282240,204492800839909380,7657736265990668000,
0,0,0,0,0,0,0,31071.174921174043,5980373.55770874,223950197.07421875,8386360845.46875,314047917900,11760297291392,440393279047680,16491610303365120,617568939565645800,
0,0,0,0,0,0,0,0,6464483.868054138,-198526797.03222656,-7434319300.09375,-278396387630,-10425238007360,-390398697576448,-14619440161947648,-547460920176017400,
0,0,0,0,0,0,0,0,0,436738135.8058684,-7289496003.875,-272973123066,-10222150510016,-382793586978816,-14334648063688704,-536796179279642600,
0,0,0,0,0,0,0,0,0,0,23593160128.00959,-271061066072,-10150548835840,-380112285908992,-14234240140574720,-533036157714300900,
0,0,0,0,0,0,0,0,0,0,0,1166773173649.2944,-10607713254976,-397231932286976,-14875327461326848,-557043249701716000,
0,0,0,0,0,0,0,0,0,0,0,0,54090629587201.99,-389376311736320,-14581154396438528,-546027215540715500,
0,0,0,0,0,0,0,0,0,0,0,0,0,2414591971825148.5,-14568380919250944,-545548881690099700,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,104774221229215410,-537516426626334700,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4461691301225686000,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
